id,name,minplayers,maxplayers,minplaytime,maxplaytime,minage,bayesaverage,complexity,yearpublished
39217,Fighting Formations: Grossdeutschland Motorized Infantry Division,2.0,2.0,180.0,180.0,0.0,6.11095,3.272,2011
209324,The World of SMOG: Rise of Moloch,2.0,5.0,45.0,90.0,14.0,6.06208,2.9091,2018
24770,Quietville,3.0,5.0,30.0,30.0,8.0,5.70626,1.4242,2006
414107,Ratjack,2.0,4.0,15.0,30.0,10.0,5.82566,1.6538,2024
153497,This Town Ain't Big Enough for the 2-4 of Us,2.0,4.0,15.0,15.0,8.0,5.63985,1.3462,2014
313718,Hibachi,2.0,4.0,45.0,45.0,10.0,5.94586,1.5417,2021
381435,General Orders: World War II,2.0,2.0,30.0,30.0,14.0,6.06308,2.1935,2023
135281,Serenissima (Second Edition),2.0,4.0,90.0,90.0,13.0,5.9199,2.9219,2012
383579,BOOoop.,2.0,2.0,25.0,35.0,10.0,6.08264,1.4375,2023
190400,Aventuria: Adventure Card Game,1.0,4.0,45.0,180.0,14.0,6.0066,2.5882,2016
1017,Fresh Fish,2.0,5.0,60.0,60.0,12.0,5.8992,3.044,1997
133956,Axis & Allies: WWI 1914,2.0,8.0,60.0,180.0,12.0,5.94116,2.7931,2013
186995,Doctor Who: Time of the Daleks,2.0,4.0,120.0,120.0,14.0,5.89334,2.4333,2017
147194,Linkee!,2.0,30.0,30.0,30.0,14.0,5.74762,1.1538,2012
35369,Martian Fluxx,2.0,6.0,5.0,30.0,8.0,5.6992,1.4324,2009
248117,Carson City: The Card Game,1.0,6.0,30.0,45.0,12.0,5.9002,2.2069,2018
39927,Last Train to Wensleydale,3.0,4.0,120.0,120.0,13.0,5.98796,3.252,2009
229713,War Room,2.0,6.0,120.0,360.0,14.0,6.20445,3.5493,2019
8273,Alexandros,2.0,4.0,45.0,45.0,12.0,5.70539,2.3613,2003
232045,Shaky Manor,2.0,4.0,10.0,20.0,6.0,5.68538,1.4167,2017
250779,Sherlock: Death on the 4th of July,1.0,8.0,40.0,60.0,10.0,5.75419,1.6111,2018
22950,Play Nine,2.0,6.0,45.0,45.0,8.0,5.75517,1.15,2004
142402,The Red Dragon Inn 4,2.0,4.0,60.0,60.0,13.0,5.9762,1.8125,2013
259069,Punto,2.0,4.0,20.0,20.0,7.0,5.7973,1.0741,2018
173018,Grimslingers,1.0,6.0,15.0,90.0,14.0,5.67361,2.7391,2015
59429,Dark Darker Darkest,2.0,5.0,120.0,120.0,12.0,5.68433,3.3,2013
432716,Leaders,2.0,2.0,15.0,15.0,10.0,5.99147,1.9231,2025
464,Billabong,2.0,4.0,30.0,30.0,10.0,5.89974,1.8667,1992
55952,Greed Incorporated,3.0,5.0,180.0,240.0,14.0,5.95478,3.5963,2009
352823,Galileo Project,2.0,4.0,40.0,80.0,14.0,6.04038,2.75,2022
119637,Zug um Zug: Deutschland,2.0,5.0,30.0,60.0,8.0,6.08107,1.9091,2012
302734,Master Word,3.0,6.0,5.0,15.0,12.0,5.83946,1.4231,2020
123576,Sheepland,2.0,4.0,30.0,30.0,8.0,5.78579,1.7647,2012
178134,London Dread,2.0,4.0,60.0,90.0,14.0,5.80281,3.0,2016
92120,Atlantis Rising,2.0,6.0,30.0,90.0,10.0,5.78722,2.5397,2012
22237,Hart an der Grenze,3.0,6.0,40.0,40.0,10.0,5.7887,1.4103,2005
23985,Midgard,3.0,5.0,60.0,60.0,12.0,5.82192,2.3689,2007
63539,Lupus in Tabula,8.0,24.0,20.0,40.0,8.0,5.76723,1.2143,2001
341048,Free Ride,1.0,5.0,50.0,90.0,10.0,5.98114,2.5128,2021
213370,Castles of Caladale,1.0,4.0,30.0,30.0,8.0,5.72548,1.3529,2017
431493,Forestry,1.0,4.0,70.0,120.0,13.0,6.15696,3.2545,2025
413469,Ada's Dream,1.0,4.0,90.0,120.0,14.0,6.24655,3.9118,2025
3242,Clash of the Gladiators,2.0,5.0,45.0,45.0,10.0,5.61592,1.5437,2002
438936,The White Castle Duel,2.0,2.0,20.0,40.0,10.0,6.17855,2.8529,2025
119781,Legacy: Gears of Time,2.0,4.0,60.0,60.0,13.0,5.92887,2.8226,2012
141430,Geek Out!,2.0,99.0,30.0,30.0,10.0,5.53017,1.2174,2013
1263,Knights,2.0,6.0,30.0,30.0,8.0,5.53468,1.3596,2000
137290,Nosferatu,4.0,10.0,20.0,20.0,10.0,5.79769,1.3889,2013
184459,Ave Roma,2.0,5.0,45.0,120.0,12.0,5.9825,3.7302,2016
276004,On the Origin of Species,2.0,4.0,45.0,80.0,9.0,5.86777,2.3404,2019
212956,Room 25: Ultimate,1.0,8.0,30.0,60.0,10.0,6.00325,2.1429,2016
257058,Valparaíso,2.0,5.0,45.0,90.0,12.0,5.90562,2.814,2018
198707,Hostage Negotiator: Crime Wave,1.0,1.0,20.0,20.0,15.0,6.02264,2.2143,2017
405923,Moonrollers,2.0,5.0,30.0,45.0,14.0,6.04876,1.8333,2024
11618,Cranium Zigity,2.0,99.0,10.0,10.0,8.0,5.44228,1.0918,2004
423270,Moving Wild,1.0,6.0,15.0,30.0,8.0,5.92907,2.0417,2024
99392,Colonial: Europe's Empires Overseas,2.0,6.0,120.0,120.0,14.0,5.95968,3.4696,2011
65225,Road Kill Rally,3.0,6.0,90.0,90.0,12.0,5.74769,2.0741,2010
200058,Harvest,2.0,4.0,30.0,75.0,14.0,5.93644,2.525,2017
104994,City Tycoon,2.0,5.0,60.0,120.0,10.0,5.78983,2.7931,2011
187104,4 Gods,2.0,4.0,15.0,30.0,8.0,5.61494,2.24,2016
431248,For a Crown,3.0,5.0,30.0,45.0,8.0,5.90062,1.3871,2025
393175,Nocturne,1.0,4.0,30.0,45.0,10.0,5.91169,2.2121,2024
400113,Panda Panda,2.0,4.0,15.0,15.0,6.0,5.85449,1.0625,2023
415845,Grimcoven,1.0,4.0,90.0,270.0,14.0,6.17872,3.7627,2025
173096,A Tale of Pirates,2.0,4.0,30.0,30.0,8.0,5.93395,1.8214,2017
409496,The Quacks of Quedlinburg: The Duel,2.0,2.0,45.0,60.0,10.0,6.06385,2.2667,2024
34169,Potion-Making: Practice,2.0,6.0,40.0,40.0,0.0,5.64966,1.7077,2005
164865,B-Sieged: Sons of the Abyss,1.0,6.0,60.0,90.0,14.0,5.74564,2.8214,2016
245200,Heckmeck Deluxe,2.0,7.0,30.0,30.0,8.0,5.93334,1.2273,2018
329484,Pyramido,2.0,4.0,45.0,45.0,8.0,5.91569,1.7714,2023
129976,Game of Thrones: The Card Game,2.0,2.0,30.0,60.0,14.0,5.68409,2.7368,2012
864,Mage Knight,2.0,4.0,60.0,60.0,10.0,5.69335,2.382,2000
22897,Dreamblade,2.0,2.0,60.0,60.0,13.0,5.95619,2.6923,2006
256067,Cupcake Empire,2.0,4.0,45.0,60.0,10.0,5.92313,2.7895,2018
4424,Cranium: Hoopla,2.0,99.0,20.0,20.0,13.0,5.68603,1.2708,2002
102898,Sewer Pirats,2.0,5.0,30.0,60.0,10.0,5.80818,2.1111,2012
359962,Redwood,1.0,4.0,45.0,60.0,10.0,5.98752,2.125,2023
358284,Rome in a Day,2.0,5.0,15.0,20.0,8.0,5.94082,1.7,2023
234948,Prehistory,2.0,4.0,60.0,120.0,12.0,5.98155,3.9011,2018
160559,Simurgh,2.0,5.0,45.0,90.0,14.0,5.8202,2.9706,2015
418470,Endeavor: Deep Sea Deluxe Edition,1.0,5.0,60.0,120.0,10.0,6.39796,2.8788,2024
258148,Power Rangers: Heroes of the Grid,2.0,5.0,45.0,60.0,14.0,6.02735,2.7188,2019
